pgen_left	pgen_right	sample_size_prop_left	sample_size_prop_right	prob
-0.001	1e-20	0.00254	0.00531	0.7353711212559427
-0.001	1e-20	0.00531	0.00708	0.08095386622054612
-0.001	1e-20	0.00885	0.0142	0.06386518085840398
-0.001	1e-20	0.00708	0.00885	0.04718291887600306
-0.001	1e-20	0.0142	0.023	0.03574635400421546
-0.001	1e-20	0.023	0.0619	0.02885605996162607
-0.001	1e-20	0.0619	1.14	0.00802449882326254
1e-20	1e-15	0.00254	0.00531	0.7661929726549926
1e-20	1e-15	0.00531	0.00708	0.07811326478890956
1e-20	1e-15	0.00885	0.0142	0.05740194681949187
1e-20	1e-15	0.00708	0.00885	0.042850747538727356
1e-20	1e-15	0.0142	0.023	0.03020863008579769
1e-20	1e-15	0.023	0.0619	0.02073351659532275
1e-20	1e-15	0.0619	1.14	0.004498921516758112
1e-15	1e-14	0.00254	0.00531	0.7565768041306123
1e-15	1e-14	0.00531	0.00708	0.07867174216696492
1e-15	1e-14	0.00885	0.0142	0.0597501818522601
1e-15	1e-14	0.00708	0.00885	0.04505027155116631
1e-15	1e-14	0.0142	0.023	0.03169361352713057
1e-15	1e-14	0.023	0.0619	0.023219075074860655
1e-15	1e-14	0.0619	1.14	0.005038311697005127
1e-14	1e-13	0.00254	0.00531	0.7617619255825088
1e-14	1e-13	0.00531	0.00708	0.07808633757782864
1e-14	1e-13	0.00885	0.0142	0.05776356703705242
1e-14	1e-13	0.00708	0.00885	0.043747694757848815
1e-14	1e-13	0.0142	0.023	0.030887191525013864
1e-14	1e-13	0.023	0.0619	0.022843575732853273
1e-14	1e-13	0.0619	1.14	0.004909707786894256
1e-13	1e-12	0.00254	0.00531	0.7637849103999367
1e-13	1e-12	0.00531	0.00708	0.07881418370979865
1e-13	1e-12	0.00885	0.0142	0.057505735986391866
1e-13	1e-12	0.00708	0.00885	0.043320295502195495
1e-13	1e-12	0.0142	0.023	0.030301831559792713
1e-13	1e-12	0.023	0.0619	0.02150500415364532
1e-13	1e-12	0.0619	1.14	0.00476803868823925
1e-12	1e-11	0.00254	0.00531	0.7561203064723729
1e-12	1e-11	0.00531	0.00708	0.08061858322699626
1e-12	1e-11	0.00885	0.0142	0.06024926271936061
1e-12	1e-11	0.00708	0.00885	0.04487209081155347
1e-12	1e-11	0.0142	0.023	0.03154225382890411
1e-12	1e-11	0.023	0.0619	0.02200300267581627
1e-12	1e-11	0.0619	1.14	0.004594500264996297
1e-11	1e-10	0.00254	0.00531	0.7362591872012829
1e-11	1e-10	0.00531	0.00708	0.08504434159020105
1e-11	1e-10	0.00885	0.0142	0.06499005249044723
1e-11	1e-10	0.00708	0.00885	0.04812184978368114
1e-11	1e-10	0.0142	0.023	0.03488562080285807
1e-11	1e-10	0.023	0.0619	0.025357224747811068
1e-11	1e-10	0.0619	1.14	0.005341723383718487
1e-10	1e-09	0.00254	0.00531	0.6890377798408025
1e-10	1e-09	0.00531	0.00708	0.09132354728647486
1e-10	1e-09	0.00885	0.0142	0.07746347260227131
1e-10	1e-09	0.00708	0.00885	0.054010794240229296
1e-10	1e-09	0.0142	0.023	0.04471057033159354
1e-10	1e-09	0.023	0.0619	0.03505511607836775
1e-10	1e-09	0.0619	1.14	0.0083987196202607
1e-09	1e-08	0.00254	0.00531	0.582871150025564
1e-09	1e-08	0.00885	0.0142	0.10094762182139445
1e-09	1e-08	0.00531	0.00708	0.0977330625047637
1e-09	1e-08	0.0142	0.023	0.06835194584318759
1e-09	1e-08	0.023	0.0619	0.06586564165730617
1e-09	1e-08	0.00708	0.00885	0.06307612964387824
1e-09	1e-08	0.0619	1.14	0.02115444850390582
1e-08	0.01	0.00254	0.00531	0.4280154634727232
1e-08	0.01	0.023	0.0619	0.1291916193500509
1e-08	0.01	0.00885	0.0142	0.11917746751117478
1e-08	0.01	0.0142	0.023	0.09930017430923493
1e-08	0.01	0.00531	0.00708	0.0913268211863383
1e-08	0.01	0.0619	1.14	0.0675491431234144
1e-08	0.01	0.00708	0.00885	0.06543931104706349
