pgen_left	pgen_right	sample_size_prop_left	sample_size_prop_right	prob
-0.001	1e-20	0.00672	0.0116	1.0
1e-20	1e-15	0.00672	0.0116	0.5
1e-20	1e-15	0.0193	0.0236	0.5
1e-15	1e-14	0.00672	0.0116	0.6666666666666666
1e-15	1e-14	0.0116	0.0193	0.3333333333333333
1e-14	1e-13	0.00672	0.0116	0.5
1e-14	1e-13	0.0116	0.0193	0.5
1e-13	1e-12	0.00672	0.0116	0.5714285714285714
1e-13	1e-12	0.0236	0.0386	0.14285714285714285
1e-13	1e-12	0.0386	0.0695	0.14285714285714285
1e-13	1e-12	0.0695	0.116	0.14285714285714285
1e-12	1e-11	0.00672	0.0116	0.7142857142857143
1e-12	1e-11	0.0116	0.0193	0.14285714285714285
1e-12	1e-11	0.0236	0.0386	0.14285714285714285
1e-11	1e-10	0.00672	0.0116	0.5625
1e-11	1e-10	0.0236	0.0386	0.1875
1e-11	1e-10	0.0695	0.116	0.125
1e-11	1e-10	0.0116	0.0193	0.0625
1e-11	1e-10	0.0386	0.0695	0.0625
1e-10	1e-09	0.00672	0.0116	0.6866666666666666
1e-10	1e-09	0.0116	0.0193	0.13333333333333333
1e-10	1e-09	0.0236	0.0386	0.08
1e-10	1e-09	0.0386	0.0695	0.05333333333333334
1e-10	1e-09	0.0193	0.0236	0.03333333333333333
1e-10	1e-09	0.0695	0.116	0.013333333333333334
1e-09	1e-08	0.00672	0.0116	0.4883227176220807
1e-09	1e-08	0.0116	0.0193	0.16560509554140126
1e-09	1e-08	0.0236	0.0386	0.11677282377919321
1e-09	1e-08	0.0386	0.0695	0.08492569002123142
1e-09	1e-08	0.0695	0.116	0.055201698513800426
1e-09	1e-08	0.116	0.297	0.04246284501061571
1e-09	1e-08	0.0193	0.0236	0.03821656050955414
1e-09	1e-08	0.297	1.432	0.008492569002123142
1e-08	0.01	0.00672	0.0116	0.3882978723404255
1e-08	0.01	0.0236	0.0386	0.1702127659574468
1e-08	0.01	0.0116	0.0193	0.13829787234042554
1e-08	0.01	0.0386	0.0695	0.09574468085106383
1e-08	0.01	0.116	0.297	0.06914893617021277
1e-08	0.01	0.0695	0.116	0.05851063829787234
1e-08	0.01	0.0193	0.0236	0.05319148936170213
1e-08	0.01	0.297	1.432	0.026595744680851064
